genres,id,keywords,original_language,production_companies,title,cast,index
  Thriller,9754,  bank  technology  blackmail  hacker  seattle  computer hacker  firewall,en, Village Roadshow Pictures  Thunder Road Pictures  Warner Bros.  Beacon Pictures  Jon Shestack Productions,Firewall,  Harrison Ford  Paul Bettany  Virginia Madsen  Carly Schroeder  Jimmy Bennett,942
  Crime  Drama  Thriller,66,  corruption  assassination  washington d.c.  rape  white house  usa president  daughter  government  suspense  secret service  secret service agent,en, Columbia Pictures  Castle Rock Entertainment  Malpaso Productions,Absolute Power,  Clint Eastwood  Gene Hackman  Ed Harris  Scott Glenn  Laura Linney,943
  Action  Drama,4421,  poem  middle east  helicopter  satellite  navy  sexism  war  army  sexual harassment  navy seal  feminist  soldier  commando  mental health  drill instructor  military  u.s. military  army base  reconnaissance  sexual discrimination,en, Caravan Pictures  Hollywood Pictures  First Independent Films  Largo Entertainment  Scott Free Productions  Trap-Two-Zero Productions,G.I. Jane,  Demi Moore  Viggo Mortensen  Anne Bancroft  Jason Beghe  Daniel von Bargen,944
  Drama  Thriller  Mystery,2649,  brother brother relationship  birthday  danger of life  birthday party  surprising,en, PolyGram Filmed Entertainment  A&B Producoes  Popaganda Films,The Game,  Michael Douglas  Sean Penn  Deborah Kara Unger  James Rebhorn  Spike Jonze,945
  Horror  Mystery,588,  monster  mother role  burning of witches  fog  suffering  darkness  sadism  supernatural  revenge  surrealism  gore  survival  good vs evil  blood  another dimension  torture  creature  violence  demon  witch burning  based on video game  dismemberment  religious fanatic  ghost town  sleepwalking,en, Silent Hill DCP Inc.  Davis-Films  TriStar Pictures  Konami,Silent Hill,  Radha Mitchell  Sean Bean  Laurie Holden  Deborah Kara Unger  Kim Coates,946
  Comedy,10393,  american football  strike  sport  coach  misfit  american football player,en, Warner Bros.,The Replacements,  Keanu Reeves  Gene Hackman  Brooke Langton  Orlando Jones  Faizon Love,947
  Comedy,71552,  wife husband relationship  sequel  family reunion  masturbation  scat  high school reunion  quitting a job  milf  duringcreditsstinger,en, Universal Pictures,American Reunion,  Jason Biggs  Alyson Hannigan  Seann William Scott  Chris Klein  Thomas Ian Nicholas,948
  Action  Adventure  Crime  Drama  Mystery  Thriller,9631,  corruption  hostage  pension  innocence  police  hostage-taking  murder  suspense  conspiracy  bullet wound  negotiator,en, Regency Enterprises  Warner Bros.,The Negotiator,  Samuel L. Jackson  Kevin Spacey  David Morse  Ron Rifkin  John Spencer,949
  Action  Thriller,216282,  tornado  student  found footage  disaster movie,en, New Line Cinema  Village Roadshow Pictures  Broken Road Productions  RatPac-Dune Entertainment,Into the Storm,  Richard Armitage  Sarah Wayne Callies  Matt Walsh  Nathan Kress  Alycia Debnam-Carey,950
  Action  Comedy  Crime,306,  detective  undercover  security camera  carousel   investigation  weapon  sequel  rescue  counterfeit  shootout  dirty cop  gunfight  los angeles  explosion  violence  foot chase  framed  car chase  secret service  amusement park  roller coaster  beverly hills  buddy comedy,en, Paramount Pictures  Eddie Murphy Productions,Beverly Hills Cop III,  Eddie Murphy  Judge Reinhold  H\u00e9ctor Elizondo  Gilbert R. Hill  Timothy Carhart,951
  Comedy  Horror  Fantasy,928,  new york  monster  skyscraper  mutant  restaurant  human animal relationship  mutation  tv station  dying and death  water  research station  fur  bat  current  electric shock  cleverness  gremlin  cowardliness,en, Amblin Entertainment  Warner Bros.,Gremlins 2: The New Batch,  Zach Galligan  Phoebe Cates  John Glover  Robert Prosky  Robert Picardo,952
  Drama,205587,  father son relationship  judge  lawyer,en, Village Roadshow Pictures  Warner Bros.  Big Kid Pictures  Team Downey,The Judge,  Robert Duvall  Robert Downey Jr.  Vera Farmiga  Vincent D'Onofrio  Jeremy Strong,953
  Action  Thriller,6623,  helicopter  terrorist  nuclear missile  bridge  train crash  train  woman director,en, DreamWorks SKG,The Peacemaker,  George Clooney  Nicole Kidman  Marcel Iure\u0219  Goran Visnjic  Armin Mueller-Stahl,954
  Horror  Action  Science Fiction,1577,  martial arts  mutant  dystopia  rescue  conspiracy  evil corporation  zombie  based on video game,en, Impact Pictures  Constantin Film Ltd.,Resident Evil: Apocalypse,  Milla Jovovich  Sienna Guillory  Oded Fehr  Thomas Kretschmann  Sophie Vavasseur,955
  Comedy  Romance,9801,  london england  lovesickness  thailand  clumsy fellow  to drop brick  capture  woman director,en, Miramax Films  Universal Pictures  Studio Canal  Working Title Films  Atlantic Television  Little Bird,Bridget Jones: The Edge of Reason,  Ren\u00e9e Zellweger  Hugh Grant  Colin Firth  Jim Broadbent  Gemma Jones,956
  Thriller  Crime  Drama,2116,  miami  florida  double murder  divorce,en, Original Film  Monarch Pictures  Metro-Goldwyn-Mayer (MGM),Out of Time,  Denzel Washington  Eva Mendes  Sanaa Lathan  John Billingsley  Dean Cain,957
  Action  Thriller,9624,  fight  inuit  petrol  company  alaska  enviromental,en, Warner Bros.,On Deadly Ground,  Steven Seagal  Michael Caine  Joan Chen  John C. McGinley  R. Lee Ermey,958
  Adventure  Family  Science Fiction,14199,  imaginary friend  outcast,en, Troublemaker Studios,The Adventures of Sharkboy and Lavagirl,  Taylor Lautner  Taylor Dooley  Cayden Boyd  David Arquette  Kristin Davis,959
  Drama  Adventure  Romance  Thriller,1907,  hippie  exotic island  beach  map  group dynamics  shark attack  leader  thailand  community  backpacker  delusion  marijuana  youth  shark  extramarital affair,en, Figment Films,The Beach,  Leonardo DiCaprio  Guillaume Canet  Tilda Swinton  Virginie Ledoyen  Staffan Kihlbom,960
  Drama  Comedy  Romance,4599,  new york  pastor  world of fasion  loss of parents  mannequin  fashion designer  family relationships,en, Touchstone Pictures  Beacon Pictures  Mandeville Films,Raising Helen,  Kate Hudson  John Corbett  Joan Cusack  Hayden Panettiere  Spencer Breslin,961
  Action  Crime  Thriller,22832,  assassination  assassin  ninja fighter  revenge  ninja  ninjutsu,en, Studio Babelsberg  Anarchos Productions  Legendary Pictures  Dark Castle Entertainment  Silver Pictures  Warner Bros.  Medienboard Berlin-Brandenburg  Deutsche Filmf\u00f6rderfonds (DFFF)  Rocklock Films,Ninja Assassin,  Rain  Naomie Harris  Sung Kang  Randall Duk Kim  Rick Yune,962
  Drama  Romance,10390,  baseball  trainer  career  legend  training  sport,en, Universal Pictures  Beacon Pictures,For Love of the Game,  Kevin Costner  Kelly Preston  John C. Reilly  Jena Malone  J.K. Simmons,963
  Drama  Thriller  Crime,9879,  blackmail  strip club  striptease  police  u.s. congress,en, Columbia Pictures  Castle Rock Entertainment,Striptease,  Demi Moore  Burt Reynolds  Armand Assante  Ving Rhames  Robert Patrick,964
  Family  Comedy,38579,,en, Twentieth Century Fox Film Corporation,Marmaduke,  Owen Wilson  Emma Stone  George Lopez  Christopher Mintz-Plasse  Steve Coogan,965
  Drama  Fantasy,44603,,en, Amblin Entertainment  Malpaso Productions  Warner Bros.  Kennedy/Marshall Company  id: 7383}],Hereafter,  Matt Damon  Bryce Dallas Howard  George McLaren  Thierry Neuvic  Cyndi Mayo Davis,966
  Crime  Drama  Thriller,11892,  detective  secret  fbi  homicide  evidence  nerd  vice  intellectual  high school  partner  murder  rich  forensic,en, Castle Rock Entertainment  Warner Bros.  Schroeder Hoffman Productions,Murder by Numbers,  Sandra Bullock  Ben Chaplin  Ryan Gosling  Michael Pitt  Agnes Bruckner,967
  Action  Adventure  Crime  Thriller,9691,  competition  assassination  cia  bank  cat  mexican standoff  seattle  hitman  mission of murder  hidden camera  rivalry  rescue  shootout  police chase  sniper rifle  silencer  double cross  caribbean  detroit michigan,en, Silver Pictures  Canal+  Warner Bros.  Dino De Laurentiis Company  Donner/Shuler-Donner Productions  Evansgideon/Lazar,Assassins,  Sylvester Stallone  Antonio Banderas  Julianne Moore  Anatoli Davydov  Muse Watson,968
  Crime  Drama  Thriller,1248,  winter  psychopath  horror  serial killer,en, Ingenious Film Partners  ETIC Films  Quinta Communications  Dino De Laurentiis Company  Zephyr Films  Young Hannibal Productions  Carthago Films S.a.r.l.,Hannibal Rising,  Gaspard Ulliel  Aaran Thomas  Gong Li  Dominic West  Rhys Ifans,969
  Comedy  Drama  Romance,12220,  love of one's life  therapist  psychology  wedding  relationship  divorce,en, Universal Pictures  Castle Rock Entertainment,The Story of Us,  Bruce Willis  Michelle Pfeiffer  Rob Reiner  Colleen Rennison  Jake Sandvig,970
  Action  Adventure  Romance  Science Fiction  Thriller,72710,  based on novel  mass murder  dystopia  genocide  alien invasion  duringcreditsstinger  interspecies romance  alien parasites,en, Nick Wechsler Productions  Open Road Films  Silver Reel  Chockstone Pictures,The Host,  Saoirse Ronan  Diane Kruger  Jake Abel  William Hurt  Frances Fisher,971
  Action  Drama  Mystery  Thriller  Crime,10782,  drug addiction  military court  panama  military service  court  ranger  supreme court  lager  military crime,en, Intermedia Films  Krane Entertainment,Basic,  John Travolta  Connie Nielsen  Samuel L. Jackson  Giovanni Ribisi  Tim Daly,972
  Crime  Drama  Mystery  Thriller,9573,  houseboat  heart  investigation  police  ex-cop  suspense  heart transplant  fbi profiler,en, Malpaso Productions  Warner Bros.,Blood Work,  Clint Eastwood  Jeff Daniels  Anjelica Huston  Wanda De Jesus  Tina Lifford,973
  Drama  Thriller  Crime,4959,  duringcreditsstinger,en, Studio Babelsberg  Atlas Entertainment  Mosaic Media Group  X-Filme Creative Pool,The International,  Clive Owen  Naomi Watts  Armin Mueller-Stahl  Ulrich Thomsen  Br\u00edan F. O'Byrne,974
  Action  Adventure  Science Fiction  Thriller,10061,  prison  usa president  earthquake  dystopia  attempt to escape  los angeles  reluctant hero,en, Paramount Pictures  Rysher Entertainment,Escape from L.A.,  Kurt Russell  Stacy Keach  Steve Buscemi  Pam Grier  Cliff Robertson,975
  Adventure  Animation  Family  Fantasy  Science Fiction,10386,  cold war  friendship  giant robot  sitting on a toilet  fear of unknown  1950s  laxative,en, Warner Bros. Animation,The Iron Giant,  Eli Marienthal  Jennifer Aniston  Vin Diesel  Christopher McDonald  Harry Connick Jr.,976
  Adventure  Comedy  Drama,421,  ocean  film making  loss of mother  cynic  red cap  ship,en, Touchstone Pictures  American Empirical Pictures,The Life Aquatic with Steve Zissou,  Bill Murray  Anjelica Huston  Cate Blanchett  Willem Dafoe  Owen Wilson,977
  War  Action  Drama  History  Thriller,316152,  slavery  american civil war,en, Larger Than Life Productions  Vendian Entertainment  Route One Films,Free State of Jones,  Matthew McConaughey  Gugu Mbatha-Raw  Mahershala Ali  Keri Russell  Jacob Lofland,978
  Drama  Thriller  Crime,11615,  prison  journalist  texas  professor  death penalty  death row  interview  murder  reporter  intern  innocent  activist,en, Mikona Productions GmbH & Co. KG  Universal Pictures  Intermedia Films  Saturn Films  Dirty Hands Productions,The Life of David Gale,  Kevin Spacey  Kate Winslet  Laura Linney  Gabriel Mann  Rhona Mitra,979
  Comedy  Action,13498,,en, Revolution Studios  Bel Air Entertainment,Man of the House,  Tommy Lee Jones  Cedric the Entertainer  Christina Milian  Paula Garc\u00e9s  Monica Keena,980
  Action  Crime  Drama  Mystery  Thriller,241554,  hitman  revenge  murder  on the run  mobster,en, Vertigo Entertainment  Energy Entertainment  RatPac-Dune Entertainment,Run All Night,  Liam Neeson  Ed Harris  Joel Kinnaman  Boyd Holbrook  Bruce McGill,981
  Thriller  Crime  Mystery,2252,  london england  gay  male nudity  female nudity  father son relationship  sex  jealousy  underworld  undercover  hitman  russian  diary  human trafficking  midwife  murder  mother daughter relationship  orphan  gangster  motorcycle  bathhouse,en, BBC Films  Serendipity Point Films  T\u00e9l\u00e9film Canada  Astral Media  Scion Films  Focus Features  Corus Entertainment  Shine Pictures  Kudos Film and Television,Eastern Promises,  Naomi Watts  Viggo Mortensen  Vincent Cassel  Armin Mueller-Stahl  Sin\u00e9ad Cusack,982
  Action  Thriller  Adventure  Crime,11968,  diving  cocaine  shipwreck  sailing  airplane  wrack,en, Columbia Pictures Corporation  Mandalay Pictures  Metro-Goldwyn-Mayer (MGM),Into the Blue,  Paul Walker  Jessica Alba  Scott Caan  Ashley Scott  Josh Brolin,983
  Adventure  Drama  Action  History  War,10047,  schizophrenia  france  rape  siege  biography  orl\u00e9ans  charles vii.  false history  joan of arc  religious delusions,fr, Columbia Pictures  Gaumont,The Messenger: The Story of Joan of Arc,  Milla Jovovich  Dustin Hoffman  Faye Dunaway  John Malkovich  Vincent Cassel,984
  Comedy,38319,  kidnapping  traitor  virgin  prince  princess  revenge  minotaur  knight  dragon  wedding  king  sword and sorcery,en, Universal Pictures  Stuber Productions,Your Highness,  Danny McBride  James Franco  Natalie Portman  Zooey Deschanel  Justin Theroux,985
  Drama  Thriller  Mystery,69668,  house fire  extension ladder  last day on job,en, Cliffjack Motion Pictures  Morgan Creek Productions,Dream House,  Daniel Craig  Naomi Watts  Rachel Weisz  Marton Csokas  Elias Koteas,986
  Action  Drama  Thriller,9770,  journalist  museum  hostage drama  independent film,en, Warner Bros.  Arnold Kopelson Productions,Mad City,  John Travolta  Dustin Hoffman  Mia Kirshner  Alan Alda  Robert Prosky,987
  Action  Adventure  Comedy  Family,11212,  baby  hoodlum  lost child,en, Twentieth Century Fox Film Corporation,Baby's Day Out,  Joe Mantegna  Lara Flynn Boyle  Joe Pantoliano  Brian Haley  Cynthia Nixon,988
  Drama  History  Romance,10533,  based on novel  burning of witches  puritan  pregnancy  period drama  extramarital affair,en, Hollywood Pictures  Cinergi Pictures Entertainment,The Scarlet Letter,  Demi Moore  Gary Oldman  Robert Duvall  Robert Prosky  Edward Hardwicke,989
  Drama  Thriller,38363,  cia  nuclear scientist  iraq  politician  duringcreditsstinger,en, River Road Entertainment  Participant Media,Fair Game,  Naomi Watts  Sean Penn  Ty Burrell  Brooke Smith  Bruce McGill,990
  Action  Crime,9923,  bounty hunter  fbi  weapon  spectacle,en, New Line Cinema  Davis-Films  Metropolitan Filmexport  Scott Free Productions  Domino 17521,Domino,  Keira Knightley  Mickey Rourke  Edgar Ram\u00edrez  Delroy Lindo  Mo'Nique,991
  Action  Thriller  Mystery  Romance,11863,  callgirl  san francisco  investigation  murder,en, Paramount Pictures,Jade,  David Caruso  Linda Fiorentino  Chazz Palminteri  Michael Biehn  Richard Crenna,992
  Action  Thriller  Science Fiction,18501,  dystopia  mind control  gun battle  wrongful imprisonment  dystopic future  wrongful conviction  online gaming,en, Lakeshore Entertainment  Lionsgate,Gamer,  Gerard Butler  Michael C. Hall  Logan Lerman  Amber Valletta  Terry Crews,993
  Fantasy  Drama  Romance,109491,  civil war  southern usa  magic  light  dark  class prejudice  casters  based on young adult novel,en, Alcon Entertainment  Warner Bros.  Belle Pictures  3 Arts Entertainment,Beautiful Creatures,  Alden Ehrenreich  Alice Englert  Jeremy Irons  Viola Davis  Emmy Rossum,994
  Comedy  Crime  Drama  Thriller,9275,  corruption  moderator  tv show  success  irish mob  duringcreditsstinger,en, Senator Film Produktion  Mad Chance  Warner Bros.  Filmfour,Death to Smoochy,  Robin Williams  Catherine Keener  Edward Norton  Danny DeVito  Jon Stewart,995
  Comedy,329833,  stupidity  sequel  fashion  male model  fashion model  modeling,en, Scott Rudin Productions  Red Hour Films,Zoolander 2,  Ben Stiller  Owen Wilson  Will Ferrell  Pen\u00e9lope Cruz  Kristen Wiig,996
  Comedy  Crime,12634,  hotel  robbery  based on novel  judge  hawaii  blackmail  seduction  yacht  waterfall  delinquency  safe  stolen money  deception  skinny dipping  cell phone  double cross  beach house  elmore leonard  scheming  yellow bikini,en, Shangri-La Entertainment  Material  Taormina Productions,The Big Bounce,  Owen Wilson  Morgan Freeman  Gary Sinise  Sara Foster  Willie Nelson,997
